,job_title
0,Database Administrator
1,DTP Operators
2,Game Designer
3,Hardware Engineer
4,Networking Engineer
5,Software Engineer Programmer
6,System Architect
7,Technical Writers
8,Web Designer
9,App Developer
10,IT Recovery Specialist
11,Ethical Hacker
12,Data scientist
13,UX - UI Designer
14,Data Architect
15,Quality Analyst
16,Cloud Computing Analyst
17,IT Project Manager
18,Multimedia Developer
19,Product Developer
20,Application Maintenance Engineer
21,Software Test Engineer
22,Associate Analytics
23,Engineer-Technical Support(Level 1)
24,Web Developer
